"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"산업중분류별(1)",산업중분류별(2),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?)
"농업",농업,15452,76033,555,6,0.73,0.79,17449,83540,648,14,0.78,1.68,18785,79482,642,9,0.81,1.13,19382,78940,639,10,0.81,1.27,20302,78999,668,11,0.85,1.39,22509,84180,682,12,0.81,1.43
"금융 및 보험업",소계,40892,764141,312,20,0.04,0.26,41968,778105,358,16,0.05,0.21,42320,777764,400,12,0.05,0.15,42858,782173,341,16,0.04,0.20,43679,781685,408,18,0.05,0.23,44013,815562,666,16,0.08,0.20
"금융 및 보험업",금융 및 보험업,40892,764141,312,20,0.04,0.26,41968,778105,358,16,0.05,0.21,42320,777764,400,12,0.05,0.15,42858,782173,341,16,0.04,0.20,43679,781685,408,18,0.05,0.23,44013,815562,666,16,0.08,0.20
"기타의 사업",소계,1597079,9510716,30595,318,0.32,0.33,1678961,10058930,37505,416,0.37,0.41,1755840,10239876,41811,406,0.41,0.40,1826582,10683419,40573,399,0.38,0.37,1897247,10980274,45408,461,0.41,0.42,1981518,11499956,48704,482,0.42,0.42
"기타의 사업",건물 등의 종합관리사업,115452,805033,3617,54,0.45,0.67,117982,826378,4118,86,0.50,1.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",건물종합관리 위생 및 유사서비스업,-,-,-,-,-,-,-,-,-,-,-,-,136623,953987,5138,112,0.54,1.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",시설관리및사업지원서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249030,2019544,8267,131,0.41,0.65,257544,2061786,9213,179,0.45,0.87,266552,2129419,9701,193,0.46,0.91
"기타의 사업",위생 및 유사서비스업,14220,111771,1049,29,0.94,2.59,14980,122488,1176,34,0.96,2.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",해외파견자,4591,36678,46,2,0.13,0.55,4870,45837,27,2,0.06,0.44,5051,47451,33,1,0.07,0.21,5000,44208,21,4,0.05,0.90,4995,47982,30,3,0.06,0.63,5073,48882,29,3,0.06,0.61
"기타의 사업",전문기술서비스업,130736,1070960,742,26,0.07,0.24,140428,1133497,975,31,0.09,0.27,149894,1183803,1058,28,0.09,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
